Ordered Time,From_Suburb,From_State,From_State,To_Suburb,To_State,To_Postcode,Items,Weight,Volume,Allowed Time (Days)
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,INT,REAL,REAL,INT
3/05/2020 9:58,TRUGANINA,VIC,3029,BALDIVIS,WA,6171,2,0.74,0.2648,
3/05/2020 9:59,BRAESIDE,VIC,3195,PRESTONS,NSW,2170,1,3,0.0131,
3/05/2020 10:00,TRUGANINA,VIC,3029,DANDENONG SOUTH,VIC,3175,1,108.85,0.48,
3/05/2020 10:01,TRUGANINA,VIC,3029,BENNETTS GREEN,NSW,2290,1,2.74,0.0308,
3/05/2020 10:03,TRUGANINA,VIC,3029,ALEXANDRIA,NSW,2015,1,0.2,0.0308,
3/05/2020 10:05,PRESTONS,NSW,2170,DANDENONG SOUTH,VIC,3175,1,1.72,0.0123,
3/05/2020 10:06,BRAESIDE,VIC,3195,MANSFIELD,QLD,4122,1,5,0.033,
3/05/2020 10:06,TRUGANINA,VIC,3029,THORNLANDS,QLD,4164,3,1.01,0.1436,
3/05/2020 10:10,TRUGANINA,VIC,3029,MOUNT WAVERLY,VIC,3149,1,7.5,0.0926,
3/05/2020 10:14,PORT MELBOURNE,VIC,3207,THORNLEIGH,NSW,2120,1,2.3,0.012,
3/05/2020 10:15,TRUGANINA,VIC,3029,GYMPIE,QLD,4570,2,6.15,0.0468,
3/05/2020 10:15,DANDENONG SOUTH,VIC,3175,BRIGHTON,VIC,3186,1,5,0.001,
3/05/2020 10:17,TRUGANINA,VIC,3029,LOGANHOLME,QLD,4129,2,18.34,0.1042,
3/05/2020 10:18,LANE COVE,NSW,2066,WINNELLIE,NT,820,4,39,0.2075,
3/05/2020 10:19,DANDENONG SOUTH,VIC,3175,BONEO,VIC,3939,1,3,0.0012,
3/05/2020 10:20,SMITHFIELD,NSW,2164,BROOKVALE,NSW,2100,4,3000,6.912,
3/05/2020 10:21,LANE COVE,NSW,2066,WEMBLEY,WA,6014,1,3,0.028,
3/05/2020 10:24,DANDENONG SOUTH,VIC,3175,HIGHETT,VIC,3190,1,5,0.001,
3/05/2020 10:25,TRUGANINA,VIC,3029,GOULBURN,NSW,2580,3,13.34,0.1193,
3/05/2020 10:25,DANDENONG SOUTH,VIC,3175,ERSKINE PARK,NSW,2759,1,3,0.0012,
3/05/2020 10:34,BRAESIDE,VIC,3195,BUNDABERG,QLD,4670,1,5,0.033,
3/05/2020 10:35,PORT MELBOURNE,VIC,3207,DURAL,NSW,2158,1,4,0.0521,
3/05/2020 10:37,INGLEBURN,NSW,2565,SILVERWATER,NSW,2128,6,6,0.096,
